epoch,dice_coefficient,iou_score,learning_rate,loss,precision_metric,recall_metric,val_dice_coefficient,val_iou_score,val_loss,val_precision_metric,val_recall_metric
0,0.35218387842178345,0.21403396129608154,9.999999747378752e-05,1.2703052759170532,0.32208675146102905,0.4114832878112793,0.28274980187416077,0.16465266048908234,1.2945612668991089,1.0,7.761865802868861e-12
1,0.40833696722984314,0.2568502128124237,9.999999747378752e-05,1.148176908493042,0.4356040060520172,0.7013677954673767,0.24867764115333557,0.14199422299861908,1.312340497970581,1.0,7.761865802868861e-12
2,0.4432418942451477,0.2847972512245178,9.999999747378752e-05,1.0713924169540405,0.47871488332748413,0.8464654088020325,0.21940110623836517,0.12321759015321732,1.3475390672683716,1.0,7.761865802868861e-12
3,0.47515782713890076,0.3116946518421173,9.999999747378752e-05,1.0138599872589111,0.5193930864334106,0.8564567565917969,0.19727106392383575,0.10942913591861725,1.3832350969314575,1.0,7.761865802868861e-12
4,0.49652260541915894,0.33027294278144836,9.999999747378752e-05,0.9751285910606384,0.5510191321372986,0.8433248400688171,0.18981465697288513,0.10485924035310745,1.3962408304214478,1.0,7.761865802868861e-12
5,0.5082863569259644,0.34081849455833435,9.999999747378752e-05,0.9421240091323853,0.5796819925308228,0.8426017761230469,0.19877108931541443,0.11035303771495819,1.376272201538086,1.0,7.761865802868861e-12
6,0.5181096196174622,0.349784255027771,4.999999873689376e-05,0.9244316816329956,0.6011499166488647,0.8157554864883423,0.20888769626617432,0.11662456393241882,1.3557698726654053,1.0,7.761865802868861e-12
7,0.5328681468963623,0.3632878065109253,4.999999873689376e-05,0.8799858093261719,0.6266864538192749,0.8540339469909668,0.2150356024503708,0.12047052383422852,1.3435637950897217,1.0,7.761865802868861e-12
8,0.5208436250686646,0.3524162173271179,4.999999873689376e-05,0.9048740863800049,0.6031680107116699,0.8135429620742798,0.22297702729701996,0.1254778504371643,1.3289521932601929,1.0,7.761865802868861e-12
9,0.5458918809890747,0.3758235573768616,4.999999873689376e-05,0.8646831512451172,0.6322473287582397,0.8274341821670532,0.2235577553510666,0.1258457750082016,1.3280260562896729,1.0,7.761865802868861e-12
10,0.560393214225769,0.3893073797225952,4.999999873689376e-05,0.8255683779716492,0.6777709126472473,0.8460197448730469,0.24554210901260376,0.13995327055454254,1.290672779083252,1.0,7.761865802868861e-12
11,0.5667535066604614,0.3955285847187042,2.499999936844688e-05,0.8092576265335083,0.670477032661438,0.8775636553764343,0.26082536578178406,0.14997076988220215,1.2735015153884888,1.0,7.761865802868861e-12
12,0.5718075037002563,0.40064024925231934,2.499999936844688e-05,0.80561763048172,0.6812942624092102,0.8556634187698364,0.2749272584915161,0.15937140583992004,1.257220983505249,1.4285711813499802e-07,7.761865802868861e-12
